65
PAINT_SQUARE 2 65 1
PAINT_SQUARE 3 65 1
PAINT_SQUARE 4 65 1
PAINT_SQUARE 5 1 1
PAINT_SQUARE 5 60 1
PAINT_SQUARE 5 65 1
PAINT_SQUARE 6 17 1
PAINT_SQUARE 6 60 1
PAINT_SQUARE 6 65 1
PAINT_SQUARE 7 22 1
PAINT_SQUARE 7 46 1
PAINT_SQUARE 7 60 1
PAINT_SQUARE 7 65 1
PAINT_SQUARE 7 69 1
PAINT_SQUARE 8 60 1
PAINT_SQUARE 8 65 1
PAINT_SQUARE 9 60 1
PAINT_SQUARE 10 60 1
PAINT_LINE 9 4 9 16
PAINT_LINE 1 4 1 15
PAINT_LINE 9 22 9 31
PAINT_LINE 9 37 9 46
PAINT_LINE 9 70 9 78
PAINT_LINE 12 51 12 59
PAINT_LINE 9 51 9 58
PAINT_LINE 4 24 4 30
PAINT_LINE 4 38 4 44
PAINT_LINE 4 52 4 58
PAINT_LINE 4 71 4 76
PAINT_LINE 5 10 5 15
PAINT_LINE 6 74 6 79
PAINT_LINE 0 8 0 12
PAINT_LINE 2 2 2 5
PAINT_LINE 5 22 5 25
PAINT_LINE 5 29 5 32
PAINT_LINE 5 36 5 39
PAINT_LINE 5 43 5 46
PAINT_LINE 5 51 5 54
PAINT_LINE 5 69 5 72
PAINT_LINE 5 75 5 78
PAINT_LINE 6 30 6 33
PAINT_LINE 6 35 6 38
PAINT_LINE 7 71 7 74
PAINT_LINE 8 2 8 5
PAINT_LINE 8 14 8 17
PAINT_LINE 3 1 3 3
PAINT_LINE 6 50 6 52
PAINT_LINE 7 1 7 3
PAINT_LINE 7 31 7 33
PAINT_LINE 7 35 7 37
PAINT_LINE 8 30 8 32
PAINT_LINE 8 36 8 38
PAINT_LINE 8 50 8 52
PAINT_LINE 11 50 11 52
PAINT_LINE 13 54 13 56
PAINT_LINE 2 14 2 15
PAINT_LINE 5 57 5 58
PAINT_LINE 7 50 7 51
PAINT_LINE 5 19 6 19
PAINT_LINE 4 3 4 3
PAINT_LINE 8 24 8 24
PAINT_LINE 8 44 8 44
PAINT_LINE 8 71 8 71
PAINT_LINE 8 77 8 77
PAINT_LINE 11 58 11 58
